DATE,A939RC0Q052SBEA
1971-04-01,5576.0
1971-07-01,5662.0
1971-10-01,5705.0
1972-01-01,5884.0
1972-04-01,6041.0
1972-07-01,6140.0
1972-10-01,6306.0
1973-01-01,6522.0
1973-04-01,6680.0
1973-07-01,6757.0
1973-10-01,6940.0
1974-01-01,6996.0
1974-04-01,7163.0
1974-07-01,7285.0
1974-10-01,7451.0
1975-01-01,7512.0
1975-04-01,7660.0
1975-07-01,7905.0
1975-10-01,8125.0
1976-01-01,8377.0
1976-04-01,8506.0
1976-07-01,8641.0
1976-10-01,8836.0
1977-01-01,9063.0
1977-04-01,9347.0
1977-07-01,9604.0
1977-10-01,9784.0
1978-01-01,9935.0
1978-04-01,10490.0
1978-07-01,10743.0
1978-10-01,11078.0
1979-01-01,11272.0
1979-04-01,11530.0
1979-07-01,11834.0
1979-10-01,12046.0
1980-01-01,12303.0
1980-04-01,12302.0
1980-07-01,12525.0
1980-10-01,13055.0
1981-01-01,13634.0
1981-04-01,13770.0
1981-07-01,14158.0
1981-10-01,14209.0
1982-01-01,14150.0
1982-04-01,14368.0
1982-07-01,14479.0
1982-10-01,14599.0
1983-01-01,14872.0
1983-04-01,15292.0
1983-07-01,15725.0
1983-10-01,16137.0
1984-01-01,16587.0
1984-04-01,16984.0
1984-07-01,17258.0
1984-10-01,17487.0
1985-01-01,17798.0
1985-04-01,18032.0
1985-07-01,18371.0
1985-10-01,18564.0
1986-01-01,18794.0
1986-04-01,18910.0
1986-07-01,19122.0
1986-10-01,19283.0
1987-01-01,19512.0
1987-04-01,19818.0
1987-07-01,20091.0
1987-10-01,20548.0
1988-01-01,20775.0
1988-04-01,21208.0
1988-07-01,21531.0
1988-10-01,21952.0
1989-01-01,22362.0
1989-04-01,22721.0
1989-07-01,22993.0
1989-10-01,23139.0
1990-01-01,23591.0
1990-04-01,23868.0
1990-07-01,24003.0
1990-10-01,23877.0
1991-01-01,23925.0
1991-04-01,24211.0
1991-07-01,24436.0
1991-10-01,24583.0
1992-01-01,24896.0
1992-04-01,25233.0
1992-07-01,25513.0
1992-10-01,25867.0
1993-01-01,25979.0
1993-04-01,26206.0
1993-07-01,26397.0
1993-10-01,26816.0
1994-01-01,27133.0
1994-04-01,27553.0
1994-07-01,27783.0
1994-10-01,28167.0
1995-01-01,28344.0
1995-04-01,28485.0
1995-07-01,28776.0
1995-10-01,29022.0
1996-01-01,29307.0
1996-04-01,29834.0
1996-07-01,30102.0
1996-10-01,30480.0
1997-01-01,30778.0
1997-04-01,31263.0
1997-07-01,31687.0
1997-10-01,31964.0
1998-01-01,32248.0
1998-04-01,32534.0
1998-07-01,32980.0
1998-10-01,33504.0
1999-01-01,33842.0
1999-04-01,34161.0
1999-07-01,34626.0
1999-10-01,35283.0
2000-01-01,35556.0
2000-04-01,36339.0
2000-07-01,36490.0
2000-10-01,36808.0
2001-01-01,36845.0
2001-04-01,37211.0
2001-07-01,37110.0
2001-10-01,37234.0
2002-01-01,37582.0
2002-04-01,37860.0
2002-07-01,38099.0
2002-10-01,38274.0
2003-01-01,38584.0
2003-04-01,38976.0
2003-07-01,39752.0
2003-10-01,40362.0
2004-01-01,40801.0
2004-04-01,41358.0
2004-07-01,41911.0
2004-10-01,42561.0
2005-01-01,43285.0
2005-04-01,43718.0
2005-07-01,44350.0
2005-10-01,44850.0
2006-01-01,45675.0
2006-04-01,46089.0
2006-07-01,46361.0
2006-10-01,46807.0
2007-01-01,47289.0
2007-04-01,47802.0
2007-07-01,48216.0
2007-10-01,48592.0
2008-01-01,48457.0
2008-04-01,48875.0
2008-07-01,48865.0
2008-10-01,47799.0
2009-01-01,47123.0
2009-04-01,46865.0
2009-07-01,46977.0
2009-10-01,47525.0
2010-01-01,47797.0
2010-04-01,48403.0
2010-07-01,48821.0
2010-10-01,49256.0
2011-01-01,49302.0
2011-04-01,49873.0
2011-07-01,50056.0
2011-10-01,50573.0
2012-01-01,51205.0
2012-04-01,51554.0
2012-07-01,51803.0
2012-10-01,52015.0
2013-01-01,52591.0
2013-04-01,52724.0
2013-07-01,53281.0
2013-10-01,53866.0
2014-01-01,53804.0
2014-04-01,54703.0
2014-07-01,55462.0
2014-10-01,55683.0
2015-01-01,56018.0
2015-04-01,56547.0
2015-07-01,56779.0
2015-10-01,56736.0
2016-01-01,56923.0
2016-04-01,57396.0
2016-07-01,57784.0
2016-10-01,58263.0
2017-01-01,58727.0
2017-04-01,59116.0
2017-07-01,59797.0
2017-10-01,60712.0
2018-01-01,61433.0
2018-04-01,62309.0
2018-07-01,62872.0
2018-10-01,63180.0
2019-01-01,63701.0
2019-04-01,64414.0
2019-07-01,65104.0
2019-10-01,65537.0
2020-01-01,64965.0
2020-04-01,59200.0
2020-07-01,64370.0
2020-10-01,65367.0
2021-01-01,67213.0
2021-04-01,69387.0
2021-07-01,70833.0
2021-10-01,73168.0
2022-01-01,74301.0
2022-04-01,75748.0
2022-07-01,77064.0
2022-10-01,78212.0
