DATE,MORTGAGE30US
4/1/1971,7.413076923
7/1/1971,7.658461538
10/1/1971,7.552857143
1/1/1972,7.349230769
4/1/1972,7.346923077
7/1/1972,7.406153846
10/1/1972,7.430769231
1/1/1973,7.446153846
4/1/1973,7.65
7/1/1973,8.456923077
10/1/1973,8.626153846
1/1/1974,8.462307692
4/1/1974,8.886923077
7/1/1974,9.606153846
10/1/1974,9.793076923
1/1/1975,9.168461538
4/1/1975,8.875384615
7/1/1975,8.983846154
10/1/1975,9.160769231
1/1/1976,8.873076923
4/1/1976,8.776923077
7/1/1976,8.967692308
10/1/1976,8.847142857
1/1/1977,8.693333333
4/1/1977,8.807692308
7/1/1977,8.925
10/1/1977,8.936923077
1/1/1978,9.126923077
4/1/1978,9.557692308
7/1/1978,9.76
10/1/1978,10.12230769
1/1/1979,10.40923077
4/1/1979,10.76384615
7/1/1979,11.15692308
10/1/1979,12.48461538
1/1/1980,13.68
4/1/1980,14.41923077
7/1/1980,12.64307692
10/1/1980,14.22615385
1/1/1981,15.12692308
4/1/1981,16.23923077
7/1/1981,17.38
10/1/1981,17.73571429
1/1/1982,17.41416667
4/1/1982,16.76615385
7/1/1982,16.22153846
10/1/1982,14.03285714
1/1/1983,13.03
4/1/1983,12.76307692
7/1/1983,13.64142857
10/1/1983,13.46
1/1/1984,13.33307692
4/1/1984,14.03538462
7/1/1984,14.49384615
10/1/1984,13.64846154
1/1/1985,13.06384615
4/1/1985,12.78538462
7/1/1985,12.14076923
10/1/1985,11.73076923
1/1/1986,10.58384615
4/1/1986,10.24615385
7/1/1986,10.23538462
10/1/1986,9.683846154
1/1/1987,9.114615385
4/1/1987,10.34307692
7/1/1987,10.48153846
10/1/1987,10.86428571
1/1/1988,10.06833333
4/1/1988,10.35923077
7/1/1988,10.49642857
10/1/1988,10.41
1/1/1989,10.82
4/1/1989,10.63615385
7/1/1989,10.00769231
10/1/1989,9.813846154
1/1/1990,10.13153846
4/1/1990,10.32384615
7/1/1990,10.10307692
10/1/1990,9.959230769
1/1/1991,9.500769231
4/1/1991,9.522307692
7/1/1991,9.273076923
10/1/1991,8.69
1/1/1992,8.688461538
4/1/1992,8.677692308
7/1/1992,8.017692308
10/1/1992,8.192142857
1/1/1993,7.723333333
4/1/1993,7.453076923
7/1/1993,7.087692308
10/1/1993,7.046428571
1/1/1994,7.295833333
4/1/1994,8.427692308
7/1/1994,8.594285714
10/1/1994,9.105384615
1/1/1995,8.785384615
4/1/1995,7.917692308
7/1/1995,7.696153846
10/1/1995,7.339230769
1/1/1996,7.272307692
4/1/1996,8.102307692
7/1/1996,8.146923077
10/1/1996,7.703076923
1/1/1997,7.793076923
4/1/1997,7.926923077
7/1/1997,7.47
10/1/1997,7.205384615
1/1/1998,7.05
4/1/1998,7.097692308
7/1/1998,6.872307692
10/1/1998,6.764285714
1/1/1999,6.8775
4/1/1999,7.181538462
7/1/1999,7.786153846
10/1/1999,7.840714286
1/1/2000,8.256923077
4/1/2000,8.316153846
7/1/2000,8.02
10/1/2000,7.620769231
1/1/2001,7.006923077
4/1/2001,7.13
7/1/2001,6.963846154
10/1/2001,6.770769231
1/1/2002,6.971538462
4/1/2002,6.813076923
7/1/2002,6.289230769
10/1/2002,6.075384615
1/1/2003,5.840769231
4/1/2003,5.506923077
7/1/2003,6.033846154
10/1/2003,5.919285714
1/1/2004,5.5975
4/1/2004,6.106153846
7/1/2004,5.894285714
10/1/2004,5.736153846
1/1/2005,5.768461538
4/1/2005,5.708461538
7/1/2005,5.763846154
10/1/2005,6.226153846
1/1/2006,6.246923077
4/1/2006,6.602307692
7/1/2006,6.56
10/1/2006,6.243846154
1/1/2007,6.214615385
4/1/2007,6.358461538
7/1/2007,6.551538462
10/1/2007,6.224615385
1/1/2008,5.872307692
4/1/2008,6.086923077
7/1/2008,6.322307692
10/1/2008,5.841428571
1/1/2009,5.06
4/1/2009,5.012307692
7/1/2009,5.162307692
10/1/2009,4.922142857
1/1/2010,4.995833333
4/1/2010,4.922307692
7/1/2010,4.447142857
10/1/2010,4.436153846
1/1/2011,4.846923077
4/1/2011,4.650769231
7/1/2011,4.291538462
10/1/2011,4.002307692
1/1/2012,3.922307692
4/1/2012,3.794615385
7/1/2012,3.553846154
10/1/2012,3.359230769
1/1/2013,3.496923077
4/1/2013,3.672307692
7/1/2013,4.44
10/1/2013,4.293076923
1/1/2014,4.364615385
4/1/2014,4.227692308
7/1/2014,4.135384615
10/1/2014,3.963571429
1/1/2015,3.716666667
4/1/2015,3.819230769
7/1/2015,3.954615385
10/1/2015,3.897857143
1/1/2016,3.738461538
4/1/2016,3.589230769
7/1/2016,3.446153846
10/1/2016,3.842307692
1/1/2017,4.173076923
4/1/2017,3.98
7/1/2017,3.883846154
10/1/2017,3.922307692
1/1/2018,4.282307692
4/1/2018,4.544615385
7/1/2018,4.566923077
10/1/2018,4.784615385
1/1/2019,4.373846154
4/1/2019,4.010769231
7/1/2019,3.658461538
10/1/2019,3.7
1/1/2020,3.521538462
4/1/2020,3.239230769
7/1/2020,2.952307692
10/1/2020,2.760714286
1/1/2021,2.875833333
4/1/2021,3.003846154
7/1/2021,2.872142857
10/1/2021,3.079230769
1/1/2022,3.822307692
4/1/2022,5.266153846
7/1/2022,5.623076923
10/1/2022,6.664615385
,
